risk_prompt_id,risk_library_key,risk_library_version,risk_area_key,risk_area_title,risk_area_order,risk_prompt_title,risk_prompt_guidance,risk_prompt_order,risk_prompt_is_active,risk_default_status,risk_source_reference,risk_tags
WT-RP-001,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Decision-making authority is unclear,"Key decisions may be delayed or challenged because authority, escalation routes or delegated limits are not clearly defined.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,decision-making,authority"
WT-RP-002,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Governance forums are not operating effectively,"Governance meetings may not have the right attendance, information, cadence or decision focus to support timely project control.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,meetings,oversight"
WT-RP-003,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Critical decisions are overdue,Delivery may be affected because important decisions have not been made by the required date.,3,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,decisions,delay"
WT-RP-004,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Escalation routes are unclear or unused,"Material concerns may remain unresolved because teams do not know when, how or to whom they should escalate.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,escalation,accountability"
WT-RP-005,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Project accountabilities are not clearly assigned,"Work, decisions or assurance activities may be missed because accountable roles are unclear or overlap.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,roles,accountability"
WT-RP-006,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Governance information is incomplete or unreliable,"Leaders may make poor decisions because reporting is late, inconsistent, incomplete or based on unverified information.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,reporting,data-quality"
WT-RP-007,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Assurance findings are not being actioned,"Known weaknesses may persist because assurance recommendations do not have owners, actions or due dates.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,assurance,actions"
WT-RP-008,watchtower-default,1.0,governance-decision-making,Governance and decision-making,1,Project objectives are not aligned with organisational priorities,"The project may lose support, funding or relevance if its objectives no longer align with wider organisational priorities.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"governance,strategy,alignment"
WT-RP-009,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Project scope is unclear,"Teams and stakeholders may hold different views of what is included, excluded or expected from the project.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"scope,clarity,alignment"
WT-RP-010,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Requirements are incomplete,"Delivery may be delayed or reworked because important business, user, technical or operational requirements have not been identified.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"requirements,completeness,rework"
WT-RP-011,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Requirements are changing without control,"Uncontrolled changes may increase cost, extend timelines or reduce delivery confidence.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"requirements,change-control,scope-creep"
WT-RP-012,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Acceptance criteria are unclear,Outputs may be disputed or rejected because completion and acceptance conditions are not sufficiently defined.,4,true,draft,Watchtower Default Risk Prompt Library V1.0,"requirements,acceptance,quality"
WT-RP-013,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Dependencies between requirements are not understood,Changes to one requirement may create unintended consequences elsewhere in the solution or delivery plan.,5,true,draft,Watchtower Default Risk Prompt Library V1.0,"requirements,dependencies,impact"
WT-RP-014,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Stakeholder needs conflict,"Different stakeholder groups may expect incompatible outcomes, creating delay, compromise or dissatisfaction.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"requirements,stakeholders,conflict"
WT-RP-015,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Non-functional requirements are underdefined,"Security, performance, accessibility, reliability or support needs may be discovered too late.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"requirements,non-functional,quality"
WT-RP-016,watchtower-default,1.0,scope-requirements,Scope and requirements,2,Scope boundaries do not reflect available time or budget,The agreed scope may not be achievable within the approved delivery constraints.,8,true,draft,Watchtower Default Risk Prompt Library V1.0,"scope,budget,schedule,feasibility"
WT-RP-017,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,The delivery plan is not credible,"The schedule may not reflect realistic effort, sequencing, dependencies, capacity or uncertainty.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,planning,credibility"
WT-RP-018,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,A critical milestone is at risk,"A key delivery, governance, contractual or operational milestone may not be achieved on time.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,milestones,delay"
WT-RP-019,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,Critical path activities are not understood,The project may focus on lower-priority work while activities that directly control the end date are missed.,3,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,critical-path,planning"
